Address,CityOrCounty,State,IncidentDate,Latitude,Longitude
Chef Menteur Highway and Dale Street,New Orleans,Louisiana,15-Sep-14,30.06880013,-89.9308814
229 Naval Air Station Drive,Flour Bluff,Texas,14-Sep-14,31.53834907,-99.6497468
225 E Fifth,Anchorage,Alaska,14-Sep-14,61.2178547,-149.8800773
14000 block of Patton,Detroit,Michigan,11-Sep-14,42.38402073,-83.10165683
2015 Orange Blossom Trail,Orlando,Florida,6-Sep-14,28.4158857,-81.2987497
576 Poplar Street,Macon,Georgia,6-Sep-14,32.83205682,-83.64960509
2400 block of Martin Luther King Boulevard,Flint,Michigan,4-Sep-14,43.02363394,-83.69206403
East 27th and Stanford ,Los Angeles,California,3-Sep-14,34.10482229,-118.4110473
25000 block of Fifth Street ,Highland,California,2-Sep-14,34.11130069,-117.1652611
3622 Medgar Evers Boulevard,Jackson,Mississippi,2-Sep-14,32.31702909,-90.21275137
200 block of South Q Street ,Livermore,California,31-Aug-14,37.68593335,-121.7648896
820 Peach St,Brooksville,Florida,29-Aug-14,28.54036852,-82.39050061
16600 block of Edmore,Detroit,Michigan,27-Aug-14,42.38402073,-83.10165683
1400 block of Celis Street ,San Fernando,California,24-Aug-14,34.28865208,-118.4362407
8300 block of South Halsted Street,Chicago,Illinois,24-Aug-14,41.83861021,-87.68661087
1013 Carrie Street,Augusta,Georgia,24-Aug-14,33.4665855,-81.974216
1400 block of Briarcrest Lane,Memphis,Tennessee,20-Aug-14,35.10520292,-89.97735447
Main and Hyacinth streets,Saint Martinville,Louisiana,18-Aug-14,30.8956711,-91.67752985
Purdue Street and Georgetown Avenue,East Palo Alto,California,17-Aug-14,37.4670994,-122.1347052
Owens Avenue and H Street,Las Vegas,Nevada,17-Aug-14,36.2277116,-115.2640448
153-38 118th Ave,Queens,New York,17-Aug-14,40.65749262,-73.8387599
Edinboro Street,Boston,Massachusetts,17-Aug-14,42.3322209,-71.01643176
West 3rd Street and Monroe Avenue,Plainfield,New Jersey,16-Aug-14,40.61527819,-74.41587935
122 Pierpont Avenue,Salt Lake City,Utah,16-Aug-14,40.7640319,-111.8949274
797 Pope Street,Memphis,Tennessee,14-Aug-14,35.1540216,-89.9560474
Treeland Drive,Clarksville,Tennessee,13-Aug-14,36.56968315,-87.34323717
New Orleans and North Rocheblave streets,New Orleans,Louisiana,13-Aug-14,30.06880013,-89.9308814
Oakmont Avenue,Buffalo,New York,12-Aug-14,42.89225205,-78.85941404
Brent Circle,Bartow County,Georgia,12-Aug-14,32.6176611,-83.39219224
5400 block of Burgundy St,New Orleans,Louisiana,10-Aug-14,30.06880013,-89.9308814
16300 block of Heather Glen Road ,Moreno Valley,California,10-Aug-14,33.92443141,-117.2045019
N Street SW,Washington,District of Columbia,10-Aug-14,38.90477236,-77.01628888
N/A,Wrightsville,Georgia,10-Aug-14,32.72650684,-82.71971422
400 3rd Ave N,Minneapolis,Minnesota,9-Aug-14,44.98289244,-93.2753577
3000 block of N. 28th Street ,Milwaukee,Wisconsin,8-Aug-14,43.0641114,-87.96721631
3426 Vassar NE,Albuquerque,New Mexico,8-Aug-14,35.11925964,-106.614787
Second Street and Todd Place NE,Washington,District of Columbia,8-Aug-14,38.90477236,-77.01628888
1700 block of Quincy Street ,Bakersfield,California,6-Aug-14,35.35014666,-119.0312755
1100 block of Joseph E. Boone Boulevard NW,Atlanta,Georgia,4-Aug-14,33.76265247,-84.4231419
3403 FM 1960,Humble,Texas,3-Aug-14,29.99200229,-95.26578468
5200 block of Thekla ,Saint Louis,Missouri,3-Aug-14,38.30885939,-92.50820581
4400 block of Rixeyville Road,Culpeper,Virginia,3-Aug-14,37.64882817,-78.70157159
East 9th Street and Bridge Street,Columbia,Tennessee,3-Aug-14,35.62237396,-87.04833843
5125 Wynell Street,Dallas,Texas,2-Aug-14,32.6858348,-96.7825017
Acushnet Avenue,New Bedford,Massachusetts,2-Aug-14,41.66149045,-70.93819641
Penn Avenue and 29th Street,Pittsburgh,Pennsylvania,2-Aug-14,40.43946574,-79.97631573
1500 block of South Etting Street,Philadelphia,Pennsylvania,1-Aug-14,40.00763806,-75.1339627
926 Bramblegate Road,Hope Mills,North Carolina,30-Jul-14,34.96858368,-78.92175334
4900 block of North Front Street,Philadelphia,Pennsylvania,28-Jul-14,40.00763806,-75.1339627
2000 block of East John Avenue,Saint Louis,Missouri,27-Jul-14,38.30885939,-92.50820581
N/A,Pine Bluff,Arkansas,26-Jul-14,34.21194436,-92.0173818
Royal Street,Sylvester,Georgia,26-Jul-14,31.53039349,-83.83560546
35 Water Street,Saco,Maine,26-Jul-14,43.4979291,-70.4488997
700 South California Avenue,Chicago,Illinois,25-Jul-14,41.83861021,-87.68661087
700 block of Hickory St,Braddock,Pennsylvania,23-Jul-14,40.41800581,-79.86292626
300 block of Foote Park Lane,Memphis,Tennessee,21-Jul-14,35.10520292,-89.97735447
36 Welland Avenue,Irvington,New Jersey,21-Jul-14,40.72418535,-74.23178999
5103 block of Bunkum Rd,East Saint Louis,Illinois,20-Jul-14,40.10756121,-89.1611563
Rancho Drive 3400 block ,Las Vegas,Nevada,20-Jul-14,36.2277116,-115.2640448
1300 North Mason Avenue,Chicago,Illinois,19-Jul-14,41.83861021,-87.68661087
Fulton Avenue ,Sacramento,California,14-Jul-14,38.56663215,-121.4682998
84 West Park Place,Stamford,Connecticut,13-Jul-14,41.0535459,-73.541298
1700 block of Lincoln Road NE,Washington,District of Columbia,13-Jul-14,38.90477236,-77.01628888
12600 Renton Avenue South ,Skyway,Washington,13-Jul-14,47.39092238,-120.7168928
1700 block of Summit Avenue,Pasadena,California,12-Jul-14,34.15976348,-118.1389217
5200 West Quincy Street,Chicago,Illinois,11-Jul-14,41.83861021,-87.68661087
711 Leaflet Ln,Spring,Texas,9-Jul-14,29.78959742,-95.50408624
35 March Street,Providence,Rhode Island,8-Jul-14,41.8416471,-71.424938
KY 194E,Stopover,Kentucky,7-Jul-14,37.59576387,-85.40914763
312  E Baseline Street ,San Bernardino,California,7-Jul-14,34.13970281,-117.2942335
NW 20th Ave and NW 62nd St,Miami,Florida,6-Jul-14,25.77525637,-80.20885121
4600 block of Natural Bridge Avenue,Saint Louis,Missouri,6-Jul-14,38.30885939,-92.50820581
100 block of Erb Street,Buffalo,New York,6-Jul-14,42.89225205,-78.85941404
N/A,Kalamazoo,Michigan,5-Jul-14,42.27491205,-85.58815842
333 SE 122ND Ave,Portland,Oregon,5-Jul-14,45.51993074,-122.5382346
Broad Ripple Avenue,Indianapolis,Indiana,5-Jul-14,39.77710046,-86.14634767
4700 Piggott Avenue,Centreville,Illinois,5-Jul-14,38.58268811,-90.10060236
1700 Almeda-Genoa,Houston,Texas,5-Jul-14,29.7804724,-95.3863425
861 W. 36th Street,Norfolk,Virginia,5-Jul-14,36.8782415,-76.2974231
1722 Thurgood Street,Norfolk,Virginia,4-Jul-14,36.8259323,-76.26244
1400 block of West Congress Street,Chester,Pennsylvania,2-Jul-14,40.89023896,-78.22929368
Scottsdale Circle,Lexington,Kentucky,30-Jun-14,38.0423254,-84.45872596
1100 block of North Vermont Avenue,Los Angeles,California,29-Jun-14,34.10482229,-118.4110473
700 Bourbon Street,New Orleans,Louisiana,29-Jun-14,29.9586123,-90.0654629
2800 block of Dayton,Saint Louis,Missouri,29-Jun-14,38.30885939,-92.50820581
5500 Cedar Point Way,Antioch,California,28-Jun-14,37.97787558,-121.7969287
Fifth Avenue and West 139th Street,Manhattan,New York,28-Jun-14,40.77427471,-73.96981042
1800 block of Cathy Street,San Diego,California,27-Jun-14,32.81689046,-117.1333353
1600 block of Cathy Street,San Diego,California,27-Jun-14,32.81689046,-117.1333353
Grand Street and Lasalle Street,Detroit,Michigan,27-Jun-14,41.93132091,-83.3292499
Grand St,Detroit,Michigan,26-Jun-14,41.93132091,-83.3292499
24th and Locust,Milwaukee,Wisconsin,26-Jun-14,43.0641114,-87.96721631
Midland Street,Lowell,Massachusetts,25-Jun-14,42.63887273,-71.3217144
Northwest 12th Avenue and 65th Street,Miami,Florida,24-Jun-14,25.77525637,-80.20885121
Windsor Avenue,Windsor,California,22-Jun-14,38.5417584,-122.808561
Florida Avenue and U Street NW,Washington,District of Columbia,21-Jun-14,38.90477236,-77.01628888
2119 East Alcy Road,Memphis,Tennessee,21-Jun-14,35.0777944,-89.9918915
6600 block of Greig Street,Seat Pleasant,Maryland,20-Jun-14,38.8953124,-76.90140836
5100 Clinton Drive,Kokomo,Indiana,15-Jun-14,40.47551079,-86.1327861
200 Berry Street,Park Forest,Illinois,15-Jun-14,41.48175571,-87.68679054
8600 block of South Figueroa Street,Los Angeles,California,13-Jun-14,34.10482229,-118.4110473
Rosa Parks Boulevard and Godwin Avenue,Paterson,New Jersey,9-Jun-14,40.9146875,-74.16241812
611 Hardin Street,Opp,Alabama,8-Jun-14,31.2848263,-86.25698094
Tish Lane,Moncks Corner,South Carolina,7-Jun-14,33.1961361,-79.9785296
10811 W. Ten Mile Rd.,Oak Park,Michigan,7-Jun-14,42.46499395,-83.18233058
4900 West West End Avenue,Chicago,Illinois,4-Jun-14,41.83861021,-87.68661087
Auburn Avenue,Atlanta,Georgia,3-Jun-14,33.76265247,-84.4231419
2660 E. 79th St,Chicago,Illinois,2-Jun-14,41.83861021,-87.68661087
West Ferdinand Street and North Lavergne Avenue ,Chicago,Illinois,1-Jun-14,41.83861021,-87.68661087
6500 46th Street,Sacramento,California,1-Jun-14,38.56663215,-121.4682998
N/A,San Bernardino,California,31-May-14,34.13970281,-117.2942335
2100 block of Joffre Avenue,Toledo,Ohio,25-May-14,41.66409973,-83.58189036
Strathmoor Street,Detroit,Michigan,24-May-14,41.93132091,-83.3292499
Ocean Boulevard near First Avenue North,Myrtle Beach,South Carolina,24-May-14,33.7108008,-78.8858621
840 Embarcadero Del Norte,Goleta (Isla Vista),California,23-May-14,37.24004903,-119.5032355
6200 block of Eads Street,New Orleans,Louisiana,23-May-14,30.06880013,-89.9308814
9541 Flower Street,Bellflower,California,23-May-14,33.88804179,-118.1271002
4500 block of Village Fair Drive,Dallas,Texas,21-May-14,32.79464486,-96.76633721
1643 Cleveland Rd,Sandusky,Ohio,18-May-14,41.4426595,-82.6860756
84000 block of Pedro Drive,Coachella,California,17-May-14,33.69102002,-116.145093
2200 block of Adams Place NE,Washington,District of Columbia,17-May-14,38.90477236,-77.01628888
Panther Trail and Childress Drive,Atlanta,Georgia,13-May-14,33.76265247,-84.4231419
3400 West 24th Street,Chicago,Illinois,12-May-14,41.83861021,-87.68661087
Peregrine Park,Sacramento,California,11-May-14,38.56663215,-121.4682998
2517 Shasta,Memphis,Tennessee,11-May-14,35.1688035,-89.9730998
1100 To Lani Farm Road,Stone Mountain,Georgia,10-May-14,32.6176611,-83.39219224
Natomas,Sacramento,California,10-May-14,38.56663215,-121.4682998
Shamrock Drive ,Decatur,Georgia,10-May-14,33.77121517,-84.29675277
500 West Erie Street,Chicago,Illinois,4-May-14,41.83861021,-87.68661087
12100 W 44th,Wheat Ridge,Colorado,4-May-14,39.77276295,-105.1031431
2201 Moore Road; Dalton Farmer Drive; County Road 664,Jonesboro,Arkansas,3-May-14,35.82081215,-90.67949917
7200 South Phillips Avenue,Chicago,Illinois,30-Apr-14,41.83861021,-87.68661087
1675 Airport Road,Kennesaw,Georgia,29-Apr-14,34.02554801,-84.61742735
Fourth Street,Troy,New York,27-Apr-14,42.73545935,-73.67513394
2000 Chelsea Avenue,Memphis,Tennessee,25-Apr-14,35.10520292,-89.97735447
6419 Brynhurst Avenue,Los Angeles,California,22-Apr-14,33.98108521,-118.334191
1300 block of Jackson St,Montgomery,Illinois,20-Apr-14,41.7240358,-88.36341049
2902 N. 32nd St.,Tampa,Florida,20-Apr-14,27.96800236,-82.4763859
6600 South Michigan Ave,Chicago,Illinois,20-Apr-14,41.83861021,-87.68661087
1500 block of 19th Street,Washington,District of Columbia,14-Apr-14,38.90477236,-77.01628888
2100 block of Pauger Street,New Orleans,Louisiana,12-Apr-14,30.06880013,-89.9308814
North 15th and H Streets,Richmond,Indiana,11-Apr-14,39.82203943,-86.38015459
Kellys Ferry Road and Kellys Ferry Place,Lookout Valley,Tennessee,9-Apr-14,35.85185663,-86.27777991
300 North Sunset,Rockford,Illinois,9-Apr-14,42.26315005,-89.06121191
500 block of South Alexander Street,New Orleans,Louisiana,7-Apr-14,30.06880013,-89.9308814
90 Worthington St.,Springfield,Massachusetts,6-Apr-14,42.1154978,-72.53952541
Northwest 29th Street and Portland Avenue,Oklahoma City,Oklahoma,6-Apr-14,35.46760197,-97.51913834
4300 W Wilcox Street,Chicago,Illinois,5-Apr-14,41.83861021,-87.68661087
West Palm Lane near 54th Avenue,Phoenix,Arizona,5-Apr-14,33.5721625,-112.0879662
Orchid Street ,Fairfield,California,5-Apr-14,38.25583678,-122.0393174
Motor Pool Road and Tank Destroyer Boulevard,Fort Hood,Texas,2-Apr-14,31.53834907,-99.6497468
N/A,Starkville,Mississippi,30-Mar-14,33.46083149,-88.82974123
4300 Sunset Road,Charlotte,North Carolina,30-Mar-14,35.20787221,-80.83007545
2700 Majesty Drive,Arlington,Texas,23-Mar-14,32.69987097,-97.12592206
601 Long Beach Boulevard,Long Beach,California,23-Mar-14,33.77447058,-118.1897737
Turk and Taylor,San Francisco,California,23-Mar-14,37.75971499,-122.6939756
7550 Dorchester Road,North Charleston,South Carolina,21-Mar-14,32.90326565,-80.07882812
S 4th St,Beaumont,Texas,16-Mar-14,31.53834907,-99.6497468
4960 Highway 80 West ,Waynesboro,Georgia,16-Mar-14,33.09111228,-82.01459104
S. Second and Roebling Sts,Brooklyn,New York,14-Mar-14,40.63439283,-73.95026864
531 W State St,Fremont,Ohio,9-Mar-14,40.42858964,-82.70242359
 4900 block of West Race Avenue,Austin,Texas,9-Mar-14,30.3071816,-97.7559964
4900 West Race Ave,Chicago,Illinois,8-Mar-14,41.83861021,-87.68661087
1600 block of First Street,Richmond,California,8-Mar-14,37.24004903,-119.5032355
Law Street,Pelzer,South Carolina,5-Mar-14,34.64489401,-82.46048327
Hamilton Avenue,Pittsburgh,Pennsylvania,1-Mar-14,40.43946574,-79.97631573
7800 Gratiot Av.,Detroit,Michigan,1-Mar-14,41.93132091,-83.3292499
Graceland Lane,Glade Spring,Virginia,25-Feb-14,36.78996138,-81.77253778
1200 block of W Papeete St,Wilmington,California,22-Feb-14,37.24004903,-119.5032355
300 W 1st St,Alturas,California,20-Feb-14,41.49111133,-120.5490909
3400 block of South Parker,Indianapolis,Indiana,20-Feb-14,39.77710046,-86.14634767
 115 NW 25th St.,Fort Worth,Texas,16-Feb-14,32.7897197,-97.3500396
4500 block of Riviera Shores ,Orange County,Florida,16-Feb-14,28.14683286,-83.20422736
1187 S. Edgewood Ave.,Jacksonville,Florida,16-Feb-14,30.3085542,-81.713339
2600 block of South Harwood Street,Dallas,Texas,16-Feb-14,32.79464486,-96.76633721
Lafayette Street and East Tillman Road,Fort Wayne,Indiana,16-Feb-14,41.08849204,-85.14358989
Sahara and Maryland ,Las Vegas,Nevada,15-Feb-14,36.2277116,-115.2640448
2220 block of Broadway,Gary,Indiana,12-Feb-14,41.59560282,-87.3452059
37th and International ,Oakland,California,12-Feb-14,37.77108878,-122.2249767
Constitution Park,Stockton,California,12-Feb-14,37.97672722,-121.3121116
Northwest 41st Street and 9th Avenue ,Miami,Florida,7-Feb-14,25.77525637,-80.20885121
4600 block of Downman Road,New Orleans,Louisiana,6-Feb-14,30.06880013,-89.9308814
6740 N Clark St,Chicago,Illinois,5-Feb-14,41.83861021,-87.68661087
2100 block of Bridlewood Dr,Franklin,Indiana,3-Feb-14,39.49341111,-86.0541974
821 Word Plaza,Rocky Mount,North Carolina,27-Jan-14,35.3662481,-79.42939386
2nd Avenue South and South Main Street,Seattle,Washington,27-Jan-14,47.62024593,-122.3506866
S. Union Av and W. 51st St,Chicago,Illinois,25-Jan-14,41.83861021,-87.68661087
600 block of Covenant Drive,Belle Glade,Florida,25-Jan-14,26.68571942,-80.66829208
Springfield Avenue ,Newark,New Jersey,21-Jan-14,40.72417185,-74.17242155
8509 Rixlew Ln,Manassas,Virginia,20-Jan-14,38.772486,-77.5017812
37 N. 630 West,Spanish Fork,Utah,16-Jan-14,40.1103537,-111.6654104
N/A,Ardmore,Oklahoma,16-Jan-14,34.19465273,-97.12487423
West 86th Street,Los Angeles,California,14-Jan-14,34.10482229,-118.4110473
800 block of Calvert St,Detroit,Michigan,13-Jan-14,41.93132091,-83.3292499
3600 block of Highway 80 W,Tallulah,Louisiana,12-Jan-14,30.8956711,-91.67752985
University Drive,Huntsville,Alabama,12-Jan-14,34.7842707,-86.5389964
300 block of North Street,Elgin,Illinois,12-Jan-14,42.0396386,-88.3217094
Farmers Boulevard and 133rd Avenue,Queens,New York,3-Jan-14,40.65749262,-73.8387599
Rockingham Street and Berkley Avenue Extended,Norfolk,Virginia,1-Jan-14,36.92334179,-76.24561422
1900 block of Amelia Street,New Orleans,Louisiana,31-Dec-15,30.06880013,-89.9308814
North Parkway,Jackson,Tennessee,27-Dec-15,35.64931359,-88.83075059
4210 Macalester St,Philadelphia,Pennsylvania,26-Dec-15,40.01431508,-75.12100204
Franklin and Odessa,Jacksonville,Florida,25-Dec-15,30.27926997,-81.37452585
785 Schillinger Rd S,Mobile,Alabama,25-Dec-15,30.6729471,-88.2216501
14600 block of East 14th Street,San Leandro,California,21-Dec-15,37.70433697,-122.1632161
11th and Castle Street,Wilmington,North Carolina,20-Dec-15,35.3662481,-79.42939386
21630 Southwest 120th Avenue,Miami (Goulds),Florida,20-Dec-15,28.14683286,-83.20422736
Northeast Seventh Avenue and Northeast 166th Street,Miami-dade (county),Florida,20-Dec-15,28.14683286,-83.20422736
5550 S. Flower Street,Los Angeles,California,13-Dec-15,34.10482229,-118.4110473
17000 block of Keelson Lane,Huntington Beach,California,13-Dec-15,33.69062091,-118.0072308
Whitaker Street,Savannah,Georgia,12-Dec-15,32.02831938,-81.17815866
307 Jefferson St,Lovejoy (Brooklyn),Illinois,12-Dec-15,40.10756121,-89.1611563
5100 block of Park Heights Avenue,Baltimore,Maryland,11-Dec-15,39.23545018,-76.63677351
200 block of  Brownsville Road,Pittsburgh (Mount Oliver),Pennsylvania,11-Dec-15,40.99568088,-77.78712223
2300 block of Baltimore Avenue,Cincinnati (Fairmount),Ohio,8-Dec-15,40.42858964,-82.70242359
Market Street,Raceland,Louisiana,6-Dec-15,29.72820769,-90.63621156
North 108th Street and Military Road,Omaha,Nebraska,6-Dec-15,41.26588379,-96.05382374
1365 South Waterman Avenue,San Bernardino,California,2-Dec-15,34.0757659,-117.2774672
100 block of West 33rd Street,Savannah,Georgia,2-Dec-15,32.02831938,-81.17815866
648 E. Court St,Kankakee,Illinois,29-Nov-15,41.10161741,-87.86482915
3480 Centennial Blvd,Colorado Springs,Colorado,27-Nov-15,38.8672553,-104.760749
7900 block of Florin Road,Sacramento,California,27-Nov-15,38.56663215,-121.4682998
1321 Colletta Court,Horry (county),South Carolina,24-Nov-15,33.85416558,-80.90959195
90 block of S. Terrace Avenue,Columbus,Ohio,23-Nov-15,40.91903272,-84.05946017
Morgan Avenue North,Minneapolis,Minnesota,23-Nov-15,44.96354079,-93.26783453
1800 block of FM 802,Brownsville,Texas,22-Nov-15,26.00035625,-97.47037951
Broadway and Pike,Seattle,Washington,22-Nov-15,47.62024593,-122.3506866
203 Broadway,Newburgh,New York,22-Nov-15,41.50369729,-74.02047219
Park Circle,North Charleston,South Carolina,22-Nov-15,32.9173424,-80.0651497
4100 block of West Roosevelt,Chicago,Illinois,22-Nov-15,41.83861021,-87.68661087
1900 block of Gallier Street,New Orleans,Louisiana,22-Nov-15,30.06880013,-89.9308814
Stricker and School,Baltimore,Maryland,21-Nov-15,39.23545018,-76.63677351
Prospect Drive,Pittsburgh,Pennsylvania,20-Nov-15,40.43946574,-79.97631573
California Avenue and Martin Luther King Jr. Boulevard,Fresno,California,18-Nov-15,36.7826736,-119.794492
1400 block of County Road 664,Cherokee (county),Alabama,16-Nov-15,32.63501642,-86.80937931
5600 block of Blakemore Street,Philadelphia,Pennsylvania,15-Nov-15,40.00763806,-75.1339627
800 block of County Road 2217,Tennessee Colony,Texas,15-Nov-15,31.53834907,-99.6497468
1159 Main St,Johnstown,Pennsylvania,14-Nov-15,40.32547358,-78.91894525
1300 block of South Shirley Oaks Drive,Jacksonville,Florida,13-Nov-15,30.27926997,-81.37452585
400 block of North Beville Ave,Indianapolis,Indiana,9-Nov-15,39.77710046,-86.14634767
4397 NW 6th Drive,Des Moines,Iowa,8-Nov-15,41.6402178,-93.6261485
13859 8 Mile Road,Warren,Michigan,8-Nov-15,42.49280464,-83.02702386
Bayaud and Bannock,Denver,Colorado,7-Nov-15,39.76144202,-104.8767568
1000 block of Feliz Drive,Bakersfield,California,6-Nov-15,35.35014666,-119.0312755
Ella Street and Kings Road,Jacksonville,Florida,3-Nov-15,30.3369138,-81.66090703
2217 Refuge Road,Pendleton,South Carolina,2-Nov-15,34.6474007,-82.7484817
400 block of Morgan Street,Houma,Louisiana,28-Oct-15,29.57986996,-90.70562347
1700 block of Southcrest Drive,Fort Worth,Texas,27-Oct-15,32.7795423,-97.3463354
711 E Virginia St,Evansville,Indiana,26-Oct-15,37.98671582,-87.53827073
2339 Stricklands Crossroads Road,Four Oaks,North Carolina,25-Oct-15,35.45036974,-78.41724109
Seventh Street and Broadway,Phoenix,Arizona,25-Oct-15,33.5721625,-112.0879662
