Address,CityOrCounty,State,Month,Day ,Year,Latitude,Longitude,StateAbr
N/A,Panola County,Mississippi,9,20,2014,32.60010548,-89.72682633,MS
32-14 106th St,Queens,New York,9,19,2014,40.65749262,-73.8387599,NY
NW 30th Street and NW 39th Terrace,Bell,Florida,9,18,2014,29.75687102,-82.86180347,FL
Chef Menteur Highway and Dale Street,New Orleans,Louisiana,9,15,2014,30.06880013,-89.9308814,LA
229 Naval Air Station Drive,Flour Bluff,Texas,9,14,2014,31.53834907,-99.6497468,TX
225 E Fifth,Anchorage,Alaska,9,14,2014,61.2178547,-149.8800773,AK
14000 block of Patton,Detroit,Michigan,9,11,2014,42.38402073,-83.10165683,MI
2015 Orange Blossom Trail,Orlando,Florida,9,6,2014,28.4158857,-81.2987497,FL
576 Poplar Street,Macon,Georgia,9,6,2014,32.83205682,-83.64960509,GA
2400 block of Martin Luther King Boulevard,Flint,Michigan,9,4,2014,43.02363394,-83.69206403,MI
East 27th and Stanford ,Los Angeles,California,9,3,2014,34.10482229,-118.4110473,CA
25000 block of Fifth Street ,Highland,California,9,2,2014,34.11130069,-117.1652611,CA
3622 Medgar Evers Boulevard,Jackson,Mississippi,9,2,2014,32.31702909,-90.21275137,MS
200 block of South Q Street ,Livermore,California,8,31,2014,37.68593335,-121.7648896,CA
820 Peach St,Brooksville,Florida,8,29,2014,28.54036852,-82.39050061,FL
16600 block of Edmore,Detroit,Michigan,8,27,2014,42.38402073,-83.10165683,MI
1400 block of Celis Street ,San Fernando,California,8,24,2014,34.28865208,-118.4362407,CA
8300 block of South Halsted Street,Chicago,Illinois,8,24,2014,41.83861021,-87.68661087,IL
1013 Carrie Street,Augusta,Georgia,8,24,2014,33.4665855,-81.974216,GA
1400 block of Briarcrest Lane,Memphis,Tennessee,8,20,2014,35.10520292,-89.97735447,TN
Main and Hyacinth streets,Saint Martinville,Louisiana,8,18,2014,30.8956711,-91.67752985,LA
Purdue Street and Georgetown Avenue,East Palo Alto,California,8,17,2014,37.4670994,-122.1347052,CA
Owens Avenue and H Street,Las Vegas,Nevada,8,17,2014,36.2277116,-115.2640448,NV
153-38 118th Ave,Queens,New York,8,17,2014,40.65749262,-73.8387599,NY
Edinboro Street,Boston,Massachusetts,8,17,2014,42.3322209,-71.01643176,MA
West 3rd Street and Monroe Avenue,Plainfield,New Jersey,8,16,2014,40.61527819,-74.41587935,NJ
122 Pierpont Avenue,Salt Lake City,Utah,8,16,2014,40.7640319,-111.8949274,UT
797 Pope Street,Memphis,Tennessee,8,14,2014,35.1540216,-89.9560474,TN
Treeland Drive,Clarksville,Tennessee,8,13,2014,36.56968315,-87.34323717,TN
New Orleans and North Rocheblave streets,New Orleans,Louisiana,8,13,2014,30.06880013,-89.9308814,LA
Oakmont Avenue,Buffalo,New York,8,12,2014,42.89225205,-78.85941404,NY
Brent Circle,Bartow County,Georgia,8,12,2014,32.6176611,-83.39219224,GA
5400 block of Burgundy St,New Orleans,Louisiana,8,10,2014,30.06880013,-89.9308814,LA
16300 block of Heather Glen Road ,Moreno Valley,California,8,10,2014,33.92443141,-117.2045019,CA
N Street SW,Washington,District of Columbia,8,10,2014,38.90477236,-77.01628888,DC
N/A,Wrightsville,Georgia,8,10,2014,32.72650684,-82.71971422,GA
400 3rd Ave N,Minneapolis,Minnesota,8,9,2014,44.98289244,-93.2753577,MN
3000 block of N. 28th Street ,Milwaukee,Wisconsin,8,8,2014,43.0641114,-87.96721631,WI
3426 Vassar NE,Albuquerque,New Mexico,8,8,2014,35.11925964,-106.614787,NM
Second Street and Todd Place NE,Washington,District of Columbia,8,8,2014,38.90477236,-77.01628888,DC
1700 block of Quincy Street ,Bakersfield,California,8,6,2014,35.35014666,-119.0312755,CA
1100 block of Joseph E. Boone Boulevard NW,Atlanta,Georgia,8,4,2014,33.76265247,-84.4231419,GA
3403 FM 1960,Humble,Texas,8,3,2014,29.99200229,-95.26578468,TX
5200 block of Thekla ,Saint Louis,Missouri,8,3,2014,38.30885939,-92.50820581,MO
4400 block of Rixeyville Road,Culpeper,Virginia,8,3,2014,37.64882817,-78.70157159,VA
East 9th Street and Bridge Street,Columbia,Tennessee,8,3,2014,35.62237396,-87.04833843,TN
5125 Wynell Street,Dallas,Texas,8,2,2014,32.6858348,-96.7825017,TX
Acushnet Avenue,New Bedford,Massachusetts,8,2,2014,41.66149045,-70.93819641,MA
Penn Avenue and 29th Street,Pittsburgh,Pennsylvania,8,2,2014,40.43946574,-79.97631573,PA
1500 block of South Etting Street,Philadelphia,Pennsylvania,8,1,2014,40.00763806,-75.1339627,PA
926 Bramblegate Road,Hope Mills,North Carolina,7,30,2014,34.96858368,-78.92175334,NC
4900 block of North Front Street,Philadelphia,Pennsylvania,7,28,2014,40.00763806,-75.1339627,PA
2000 block of East John Avenue,Saint Louis,Missouri,7,27,2014,38.30885939,-92.50820581,MO
N/A,Pine Bluff,Arkansas,7,26,2014,34.21194436,-92.0173818,AR
Royal Street,Sylvester,Georgia,7,26,2014,31.53039349,-83.83560546,GA
35 Water Street,Saco,Maine,7,26,2014,43.4979291,-70.4488997,ME
700 South California Avenue,Chicago,Illinois,7,25,2014,41.83861021,-87.68661087,IL
700 block of Hickory St,Braddock,Pennsylvania,7,23,2014,40.41800581,-79.86292626,PA
300 block of Foote Park Lane,Memphis,Tennessee,7,21,2014,35.10520292,-89.97735447,TN
36 Welland Avenue,Irvington,New Jersey,7,21,2014,40.72418535,-74.23178999,NJ
5103 block of Bunkum Rd,East Saint Louis,Illinois,7,20,2014,40.10756121,-89.1611563,IL
Rancho Drive 3400 block ,Las Vegas,Nevada,7,20,2014,36.2277116,-115.2640448,NV
1300 North Mason Avenue,Chicago,Illinois,7,19,2014,41.83861021,-87.68661087,IL
Fulton Avenue ,Sacramento,California,7,14,2014,38.56663215,-121.4682998,CA
84 West Park Place,Stamford,Connecticut,7,13,2014,41.0535459,-73.541298,CT
1700 block of Lincoln Road NE,Washington,District of Columbia,7,13,2014,38.90477236,-77.01628888,DC
12600 Renton Avenue South ,Skyway,Washington,7,13,2014,47.39092238,-120.7168928,WA
1700 block of Summit Avenue,Pasadena,California,7,12,2014,34.15976348,-118.1389217,CA
5200 West Quincy Street,Chicago,Illinois,7,11,2014,41.83861021,-87.68661087,IL
711 Leaflet Ln,Spring,Texas,7,9,2014,29.78959742,-95.50408624,TX
35 March Street,Providence,Rhode Island,7,8,2014,41.8416471,-71.424938,RI
KY 194E,Stopover,Kentucky,7,7,2014,37.59576387,-85.40914763,KY
312  E Baseline Street ,San Bernardino,California,7,7,2014,34.13970281,-117.2942335,CA
NW 20th Ave and NW 62nd St,Miami,Florida,7,6,2014,25.77525637,-80.20885121,FL
4600 block of Natural Bridge Avenue,Saint Louis,Missouri,7,6,2014,38.30885939,-92.50820581,MO
100 block of Erb Street,Buffalo,New York,7,6,2014,42.89225205,-78.85941404,NY
N/A,Kalamazoo,Michigan,7,5,2014,42.27491205,-85.58815842,MI
333 SE 122ND Ave,Portland,Oregon,7,5,2014,45.51993074,-122.5382346,OR
Broad Ripple Avenue,Indianapolis,Indiana,7,5,2014,39.77710046,-86.14634767,IN
4700 Piggott Avenue,Centreville,Illinois,7,5,2014,38.58268811,-90.10060236,IL
1700 Almeda-Genoa,Houston,Texas,7,5,2014,29.7804724,-95.3863425,TX
861 W. 36th Street,Norfolk,Virginia,7,5,2014,36.8782415,-76.2974231,VA
1722 Thurgood Street,Norfolk,Virginia,7,4,2014,36.8259323,-76.26244,VA
1400 block of West Congress Street,Chester,Pennsylvania,7,2,2014,40.89023896,-78.22929368,PA
Scottsdale Circle,Lexington,Kentucky,6,30,2014,38.0423254,-84.45872596,KY
1100 block of North Vermont Avenue,Los Angeles,California,6,29,2014,34.10482229,-118.4110473,CA
700 Bourbon Street,New Orleans,Louisiana,6,29,2014,29.9586123,-90.0654629,LA
2800 block of Dayton,Saint Louis,Missouri,6,29,2014,38.30885939,-92.50820581,MO
5500 Cedar Point Way,Antioch,California,6,28,2014,37.97787558,-121.7969287,CA
Fifth Avenue and West 139th Street,Manhattan,New York,6,28,2014,40.77427471,-73.96981042,NY
1800 block of Cathy Street,San Diego,California,6,27,2014,32.81689046,-117.1333353,CA
1600 block of Cathy Street,San Diego,California,6,27,2014,32.81689046,-117.1333353,CA
Grand Street and Lasalle Street,Detroit,Michigan,6,27,2014,41.93132091,-83.3292499,MI
Grand St,Detroit,Michigan,6,26,2014,41.93132091,-83.3292499,MI
24th and Locust,Milwaukee,Wisconsin,6,26,2014,43.0641114,-87.96721631,WI
Midland Street,Lowell,Massachusetts,6,25,2014,42.63887273,-71.3217144,MA
Northwest 12th Avenue and 65th Street,Miami,Florida,6,24,2014,25.77525637,-80.20885121,FL
Windsor Avenue,Windsor,California,6,22,2014,38.5417584,-122.808561,CA
Florida Avenue and U Street NW,Washington,District of Columbia,6,21,2014,38.90477236,-77.01628888,DC
2119 East Alcy Road,Memphis,Tennessee,6,21,2014,35.0777944,-89.9918915,TN
6600 block of Greig Street,Seat Pleasant,Maryland,6,20,2014,38.8953124,-76.90140836,MD
5100 Clinton Drive,Kokomo,Indiana,6,15,2014,40.47551079,-86.1327861,IN
200 Berry Street,Park Forest,Illinois,6,15,2014,41.48175571,-87.68679054,IL
8600 block of South Figueroa Street,Los Angeles,California,6,13,2014,34.10482229,-118.4110473,CA
Rosa Parks Boulevard and Godwin Avenue,Paterson,New Jersey,6,9,2014,40.9146875,-74.16241812,NJ
611 Hardin Street,Opp,Alabama,6,8,2014,31.2848263,-86.25698094,AL
Tish Lane,Moncks Corner,South Carolina,6,7,2014,33.1961361,-79.9785296,SC
10811 W. Ten Mile Rd.,Oak Park,Michigan,6,7,2014,42.46499395,-83.18233058,MI
4900 West West End Avenue,Chicago,Illinois,6,4,2014,41.83861021,-87.68661087,IL
Auburn Avenue,Atlanta,Georgia,6,3,2014,33.76265247,-84.4231419,GA
2660 E. 79th St,Chicago,Illinois,6,2,2014,41.83861021,-87.68661087,IL
West Ferdinand Street and North Lavergne Avenue ,Chicago,Illinois,6,1,2014,41.83861021,-87.68661087,IL
6500 46th Street,Sacramento,California,6,1,2014,38.56663215,-121.4682998,CA
N/A,San Bernardino,California,5,31,2014,34.13970281,-117.2942335,CA
2100 block of Joffre Avenue,Toledo,Ohio,5,25,2014,41.66409973,-83.58189036,OH
Strathmoor Street,Detroit,Michigan,5,24,2014,41.93132091,-83.3292499,MI
Ocean Boulevard near First Avenue North,Myrtle Beach,South Carolina,5,24,2014,33.7108008,-78.8858621,SC
840 Embarcadero Del Norte,Goleta (Isla Vista),California,5,23,2014,37.24004903,-119.5032355,CA
6200 block of Eads Street,New Orleans,Louisiana,5,23,2014,30.06880013,-89.9308814,LA
9541 Flower Street,Bellflower,California,5,23,2014,33.88804179,-118.1271002,CA
4500 block of Village Fair Drive,Dallas,Texas,5,21,2014,32.79464486,-96.76633721,TX
1643 Cleveland Rd,Sandusky,Ohio,5,18,2014,41.4426595,-82.6860756,OH
84000 block of Pedro Drive,Coachella,California,5,17,2014,33.69102002,-116.145093,CA
2200 block of Adams Place NE,Washington,District of Columbia,5,17,2014,38.90477236,-77.01628888,DC
Panther Trail and Childress Drive,Atlanta,Georgia,5,13,2014,33.76265247,-84.4231419,GA
3400 West 24th Street,Chicago,Illinois,5,12,2014,41.83861021,-87.68661087,IL
Peregrine Park,Sacramento,California,5,11,2014,38.56663215,-121.4682998,CA
2517 Shasta,Memphis,Tennessee,5,11,2014,35.1688035,-89.9730998,TN
1100 To Lani Farm Road,Stone Mountain,Georgia,5,10,2014,32.6176611,-83.39219224,GA
Natomas,Sacramento,California,5,10,2014,38.56663215,-121.4682998,CA
Shamrock Drive ,Decatur,Georgia,5,10,2014,33.77121517,-84.29675277,GA
500 West Erie Street,Chicago,Illinois,5,4,2014,41.83861021,-87.68661087,IL
12100 W 44th,Wheat Ridge,Colorado,5,4,2014,39.77276295,-105.1031431,CO
2201 Moore Road; Dalton Farmer Drive; County Road 664,Jonesboro,Arkansas,5,3,2014,35.82081215,-90.67949917,AR
7200 South Phillips Avenue,Chicago,Illinois,4,30,2014,41.83861021,-87.68661087,IL
1675 Airport Road,Kennesaw,Georgia,4,29,2014,34.02554801,-84.61742735,GA
Fourth Street,Troy,New York,4,27,2014,42.73545935,-73.67513394,NY
2000 Chelsea Avenue,Memphis,Tennessee,4,25,2014,35.10520292,-89.97735447,TN
6419 Brynhurst Avenue,Los Angeles,California,4,22,2014,33.98108521,-118.334191,CA
1300 block of Jackson St,Montgomery,Illinois,4,20,2014,41.7240358,-88.36341049,IL
2902 N. 32nd St.,Tampa,Florida,4,20,2014,27.96800236,-82.4763859,FL
6600 South Michigan Ave,Chicago,Illinois,4,20,2014,41.83861021,-87.68661087,IL
1500 block of 19th Street,Washington,District of Columbia,4,14,2014,38.90477236,-77.01628888,DC
2100 block of Pauger Street,New Orleans,Louisiana,4,12,2014,30.06880013,-89.9308814,LA
North 15th and H Streets,Richmond,Indiana,4,11,2014,39.82203943,-86.38015459,IN
Kellys Ferry Road and Kellys Ferry Place,Lookout Valley,Tennessee,4,9,2014,35.85185663,-86.27777991,TN
300 North Sunset,Rockford,Illinois,4,9,2014,42.26315005,-89.06121191,IL
500 block of South Alexander Street,New Orleans,Louisiana,4,7,2014,30.06880013,-89.9308814,LA
90 Worthington St.,Springfield,Massachusetts,4,6,2014,42.1154978,-72.53952541,MA
Northwest 29th Street and Portland Avenue,Oklahoma City,Oklahoma,4,6,2014,35.46760197,-97.51913834,OK
4300 W Wilcox Street,Chicago,Illinois,4,5,2014,41.83861021,-87.68661087,IL
West Palm Lane near 54th Avenue,Phoenix,Arizona,4,5,2014,33.5721625,-112.0879662,AZ
Orchid Street ,Fairfield,California,4,5,2014,38.25583678,-122.0393174,CA
Motor Pool Road and Tank Destroyer Boulevard,Fort Hood,Texas,4,2,2014,31.53834907,-99.6497468,TX
N/A,Starkville,Mississippi,3,30,2014,33.46083149,-88.82974123,MS
4300 Sunset Road,Charlotte,North Carolina,3,30,2014,35.20787221,-80.83007545,NC
2700 Majesty Drive,Arlington,Texas,3,23,2014,32.69987097,-97.12592206,TX
601 Long Beach Boulevard,Long Beach,California,3,23,2014,33.77447058,-118.1897737,CA
Turk and Taylor,San Francisco,California,3,23,2014,37.75971499,-122.6939756,CA
7550 Dorchester Road,North Charleston,South Carolina,3,21,2014,32.90326565,-80.07882812,SC
S 4th St,Beaumont,Texas,3,16,2014,31.53834907,-99.6497468,TX
4960 Highway 80 West ,Waynesboro,Georgia,3,16,2014,33.09111228,-82.01459104,GA
S. Second and Roebling Sts,Brooklyn,New York,3,14,2014,40.63439283,-73.95026864,NY
531 W State St,Fremont,Ohio,3,9,2014,40.42858964,-82.70242359,OH
 4900 block of West Race Avenue,Austin,Texas,3,9,2014,30.3071816,-97.7559964,TX
4900 West Race Ave,Chicago,Illinois,3,8,2014,41.83861021,-87.68661087,IL
1600 block of First Street,Richmond,California,3,8,2014,37.24004903,-119.5032355,CA
Law Street,Pelzer,South Carolina,3,5,2014,34.64489401,-82.46048327,SC
Hamilton Avenue,Pittsburgh,Pennsylvania,3,1,2014,40.43946574,-79.97631573,PA
7800 Gratiot Av.,Detroit,Michigan,3,1,2014,41.93132091,-83.3292499,MI
Graceland Lane,Glade Spring,Virginia,2,25,2014,36.78996138,-81.77253778,VA
1200 block of W Papeete St,Wilmington,California,2,22,2014,37.24004903,-119.5032355,CA
300 W 1st St,Alturas,California,2,20,2014,41.49111133,-120.5490909,CA
3400 block of South Parker,Indianapolis,Indiana,2,20,2014,39.77710046,-86.14634767,IN
 115 NW 25th St.,Fort Worth,Texas,2,16,2014,32.7897197,-97.3500396,TX
4500 block of Riviera Shores ,Orange County,Florida,2,16,2014,28.14683286,-83.20422736,FL
1187 S. Edgewood Ave.,Jacksonville,Florida,2,16,2014,30.3085542,-81.713339,FL
2600 block of South Harwood Street,Dallas,Texas,2,16,2014,32.79464486,-96.76633721,TX
Lafayette Street and East Tillman Road,Fort Wayne,Indiana,2,16,2014,41.08849204,-85.14358989,IN
Sahara and Maryland ,Las Vegas,Nevada,2,15,2014,36.2277116,-115.2640448,NV
2220 block of Broadway,Gary,Indiana,2,12,2014,41.59560282,-87.3452059,IN
37th and International ,Oakland,California,2,12,2014,37.77108878,-122.2249767,CA
Constitution Park,Stockton,California,2,12,2014,37.97672722,-121.3121116,CA
Northwest 41st Street and 9th Avenue ,Miami,Florida,2,7,2014,25.77525637,-80.20885121,FL
4600 block of Downman Road,New Orleans,Louisiana,2,6,2014,30.06880013,-89.9308814,LA
6740 N Clark St,Chicago,Illinois,2,5,2014,41.83861021,-87.68661087,IL
2100 block of Bridlewood Dr,Franklin,Indiana,2,3,2014,39.49341111,-86.0541974,IN
821 Word Plaza,Rocky Mount,North Carolina,1,27,2014,35.3662481,-79.42939386,NC
2nd Avenue South and South Main Street,Seattle,Washington,1,27,2014,47.62024593,-122.3506866,WA
S. Union Av and W. 51st St,Chicago,Illinois,1,25,2014,41.83861021,-87.68661087,IL
600 block of Covenant Drive,Belle Glade,Florida,1,25,2014,26.68571942,-80.66829208,FL
Springfield Avenue ,Newark,New Jersey,1,21,2014,40.72417185,-74.17242155,NJ
8509 Rixlew Ln,Manassas,Virginia,1,20,2014,38.772486,-77.5017812,VA
37 N. 630 West,Spanish Fork,Utah,1,16,2014,40.1103537,-111.6654104,UT
N/A,Ardmore,Oklahoma,1,16,2014,34.19465273,-97.12487423,OK
West 86th Street,Los Angeles,California,1,14,2014,34.10482229,-118.4110473,CA
800 block of Calvert St,Detroit,Michigan,1,13,2014,41.93132091,-83.3292499,MI
3600 block of Highway 80 W,Tallulah,Louisiana,1,12,2014,30.8956711,-91.67752985,LA
University Drive,Huntsville,Alabama,1,12,2014,34.7842707,-86.5389964,AL
300 block of North Street,Elgin,Illinois,1,12,2014,42.0396386,-88.3217094,IL
Farmers Boulevard and 133rd Avenue,Queens,New York,1,3,2014,40.65749262,-73.8387599,NY
Rockingham Street and Berkley Avenue Extended,Norfolk,Virginia,1,1,2014,36.92334179,-76.24561422,VA
1900 block of Amelia Street,New Orleans,Louisiana,12,31,2015,30.06880013,-89.9308814,LA
North Parkway,Jackson,Tennessee,12,27,2015,35.64931359,-88.83075059,TN
4210 Macalester St,Philadelphia,Pennsylvania,12,26,2015,40.01431508,-75.12100204,PA
Franklin and Odessa,Jacksonville,Florida,12,25,2015,30.27926997,-81.37452585,FL
785 Schillinger Rd S,Mobile,Alabama,12,25,2015,30.6729471,-88.2216501,AL
14600 block of East 14th Street,San Leandro,California,12,21,2015,37.70433697,-122.1632161,CA
11th and Castle Street,Wilmington,North Carolina,12,20,2015,35.3662481,-79.42939386,NC
21630 Southwest 120th Avenue,Miami (Goulds),Florida,12,20,2015,28.14683286,-83.20422736,FL
Northeast Seventh Avenue and Northeast 166th Street,Miami-dade (county),Florida,12,20,2015,28.14683286,-83.20422736,FL
5550 S. Flower Street,Los Angeles,California,12,13,2015,34.10482229,-118.4110473,CA
17000 block of Keelson Lane,Huntington Beach,California,12,13,2015,33.69062091,-118.0072308,CA
Whitaker Street,Savannah,Georgia,12,12,2015,32.02831938,-81.17815866,GA
307 Jefferson St,Lovejoy (Brooklyn),Illinois,12,12,2015,40.10756121,-89.1611563,IL
5100 block of Park Heights Avenue,Baltimore,Maryland,12,11,2015,39.23545018,-76.63677351,MD
200 block of  Brownsville Road,Pittsburgh (Mount Oliver),Pennsylvania,12,11,2015,40.99568088,-77.78712223,PA
2300 block of Baltimore Avenue,Cincinnati (Fairmount),Ohio,12,8,2015,40.42858964,-82.70242359,OH
Market Street,Raceland,Louisiana,12,6,2015,29.72820769,-90.63621156,LA
North 108th Street and Military Road,Omaha,Nebraska,12,6,2015,41.26588379,-96.05382374,NE
1365 South Waterman Avenue,San Bernardino,California,12,2,2015,34.0757659,-117.2774672,CA
100 block of West 33rd Street,Savannah,Georgia,12,2,2015,32.02831938,-81.17815866,GA
648 E. Court St,Kankakee,Illinois,11,29,2015,41.10161741,-87.86482915,IL
3480 Centennial Blvd,Colorado Springs,Colorado,11,27,2015,38.8672553,-104.760749,CO
7900 block of Florin Road,Sacramento,California,11,27,2015,38.56663215,-121.4682998,CA
1321 Colletta Court,Horry (county),South Carolina,11,24,2015,33.85416558,-80.90959195,SC
90 block of S. Terrace Avenue,Columbus,Ohio,11,23,2015,40.91903272,-84.05946017,OH
Morgan Avenue North,Minneapolis,Minnesota,11,23,2015,44.96354079,-93.26783453,MN
1800 block of FM 802,Brownsville,Texas,11,22,2015,26.00035625,-97.47037951,TX
Broadway and Pike,Seattle,Washington,11,22,2015,47.62024593,-122.3506866,WA
203 Broadway,Newburgh,New York,11,22,2015,41.50369729,-74.02047219,NY
Park Circle,North Charleston,South Carolina,11,22,2015,32.9173424,-80.0651497,SC
4100 block of West Roosevelt,Chicago,Illinois,11,22,2015,41.83861021,-87.68661087,IL
1900 block of Gallier Street,New Orleans,Louisiana,11,22,2015,30.06880013,-89.9308814,LA
Stricker and School,Baltimore,Maryland,11,21,2015,39.23545018,-76.63677351,MD
Prospect Drive,Pittsburgh,Pennsylvania,11,20,2015,40.43946574,-79.97631573,PA
California Avenue and Martin Luther King Jr. Boulevard,Fresno,California,11,18,2015,36.7826736,-119.794492,CA
1400 block of County Road 664,Cherokee (county),Alabama,11,16,2015,32.63501642,-86.80937931,AL
